in s,C1 in V,C4 in V
-4.20000E-08,-3.41797E-01,-4.47070E-02
-4.18000E-08,-4.88281E-02,-5.44727E-02
-4.16000E-08,-4.88281E-02,-4.47070E-02
-4.14000E-08,-2.44141E-01,-3.00586E-02
-4.12000E-08,-3.41797E-01,-2.51758E-02
-4.10000E-08,-2.44141E-01,-3.49414E-02
-4.08000E-08,-1.46484E-01,-3.98242E-02
-4.06000E-08,-2.44141E-01,-3.98242E-02
-4.04000E-08,-3.41797E-01,-3.49414E-02
-4.02000E-08,-3.41797E-01,-3.98242E-02
-4.00000E-08,-3.41797E-01,-4.47070E-02
-3.98000E-08,-3.41797E-01,-4.47070E-02
-3.96000E-08,-3.41797E-01,-3.98242E-02
-3.94000E-08,-1.46484E-01,-3.49414E-02
-3.92000E-08,4.88281E-02,-3.49414E-02
-3.90000E-08,-4.88281E-02,-3.00586E-02
-3.88000E-08,-2.44141E-01,-2.51758E-02
-3.86000E-08,-2.44141E-01,-2.02930E-02
-3.84000E-08,-4.88281E-02,-1.54102E-02
-3.82000E-08,4.88281E-02,-1.54102E-02
-3.80000E-08,-4.88281E-02,-1.54102E-02
-3.78000E-08,-1.46484E-01,-2.02930E-02
-3.76000E-08,-2.44141E-01,-2.51758E-02
-3.74000E-08,-3.41797E-01,-3.49414E-02
-3.72000E-08,-4.39453E-01,-3.98242E-02
-3.70000E-08,-4.39453E-01,-3.49414E-02
-3.68000E-08,-2.44141E-01,-3.00586E-02
-3.66000E-08,-4.88281E-02,-2.51758E-02
-3.64000E-08,4.88281E-02,-2.51758E-02
-3.62000E-08,-4.88281E-02,-2.51758E-02
-3.60000E-08,-2.44141E-01,-2.02930E-02
-3.58000E-08,-4.39453E-01,-1.54102E-02
-3.56000E-08,-3.41797E-01,-1.05273E-02
-3.54000E-08,-1.46484E-01,-1.54102E-02
-3.52000E-08,-4.88281E-02,-2.51758E-02
-3.50000E-08,-2.44141E-01,-3.49414E-02
-3.48000E-08,-3.41797E-01,-3.49414E-02
-3.46000E-08,-2.44141E-01,-2.51758E-02
-3.44000E-08,-4.88281E-02,-1.54102E-02
-3.42000E-08,-1.46484E-01,-1.54102E-02
-3.40000E-08,-3.41797E-01,-1.54102E-02
-3.38000E-08,-3.41797E-01,-1.54102E-02
-3.36000E-08,-1.46484E-01,-1.05273E-02
-3.34000E-08,4.88281E-02,-1.05273E-02
-3.32000E-08,-4.88281E-02,-5.64453E-03
-3.30000E-08,-2.44141E-01,4.12109E-03
-3.28000E-08,-3.41797E-01,1.38867E-02
-3.26000E-08,-3.41797E-01,1.87695E-02
-3.24000E-08,-1.46484E-01,1.87695E-02
-3.22000E-08,-4.88281E-02,2.36523E-02
-3.20000E-08,-1.46484E-01,3.83008E-02
-3.18000E-08,-3.41797E-01,5.78320E-02
-3.16000E-08,-5.37109E-01,6.75977E-02
-3.14000E-08,-4.39453E-01,6.27148E-02
-3.12000E-08,-2.44141E-01,5.78320E-02
-3.10000E-08,-1.46484E-01,6.75977E-02
-3.08000E-08,-2.44141E-01,8.71289E-02
-3.06000E-08,-3.41797E-01,1.11543E-01
-3.04000E-08,-2.44141E-01,1.26191E-01
-3.02000E-08,-4.88281E-02,1.40840E-01
-3.00000E-08,4.88281E-02,1.55488E-01
-2.98000E-08,-4.88281E-02,1.70137E-01
-2.96000E-08,-2.44141E-01,1.79902E-01
-2.94000E-08,-2.44141E-01,1.94551E-01
-2.92000E-08,-1.46484E-01,2.14082E-01
-2.90000E-08,-1.46484E-01,2.43379E-01
-2.88000E-08,-1.46484E-01,2.67793E-01
-2.86000E-08,-1.46484E-01,2.92207E-01
-2.84000E-08,-1.46484E-01,3.11738E-01
-2.82000E-08,-2.44141E-01,3.31270E-01
-2.80000E-08,-3.41797E-01,3.45918E-01
-2.78000E-08,-4.39453E-01,3.55684E-01
-2.76000E-08,-3.41797E-01,3.70332E-01
-2.74000E-08,-2.44141E-01,3.94746E-01
-2.72000E-08,-1.46484E-01,4.19160E-01
-2.70000E-08,-2.44141E-01,4.28926E-01
-2.68000E-08,-3.41797E-01,4.33809E-01
-2.66000E-08,-3.41797E-01,4.53340E-01
-2.64000E-08,-2.44141E-01,4.77754E-01
-2.62000E-08,-4.88281E-02,4.97285E-01
-2.60000E-08,4.88281E-02,5.11934E-01
-2.58000E-08,-4.88281E-02,5.26582E-01
-2.56000E-08,-2.44141E-01,5.46113E-01
-2.54000E-08,-3.41797E-01,5.65645E-01
-2.52000E-08,-3.41797E-01,5.85176E-01
-2.50000E-08,-2.44141E-01,5.94941E-01
-2.48000E-08,-3.41797E-01,6.04707E-01
-2.46000E-08,-4.39453E-01,6.14473E-01
-2.44000E-08,-5.37109E-01,6.24238E-01
-2.42000E-08,-4.39453E-01,6.43770E-01
-2.40000E-08,-2.44141E-01,6.63301E-01
-2.38000E-08,-4.88281E-02,6.82832E-01
-2.36000E-08,1.46484E-01,7.02363E-01
-2.34000E-08,1.46484E-01,7.21895E-01
-2.32000E-08,-4.88281E-02,7.31660E-01
-2.30000E-08,-3.41797E-01,7.31660E-01
-2.28000E-08,-4.39453E-01,7.26777E-01
-2.26000E-08,-3.41797E-01,7.26777E-01
-2.24000E-08,-2.44141E-01,7.51191E-01
-2.22000E-08,-3.41797E-01,7.80488E-01
-2.20000E-08,-4.39453E-01,8.00020E-01
-2.18000E-08,-3.41797E-01,8.00020E-01
-2.16000E-08,-2.44141E-01,8.09785E-01
-2.14000E-08,-2.44141E-01,8.34199E-01
-2.12000E-08,-3.41797E-01,8.48848E-01
-2.10000E-08,-2.44141E-01,8.48848E-01
-2.08000E-08,-1.46484E-01,8.39082E-01
-2.06000E-08,-1.46484E-01,8.48848E-01
-2.04000E-08,-2.44141E-01,8.68379E-01
-2.02000E-08,-2.44141E-01,8.83027E-01
-2.00000E-08,-3.41797E-01,8.83027E-01
-1.98000E-08,-4.39453E-01,8.83027E-01
-1.96000E-08,-3.41797E-01,8.83027E-01
-1.94000E-08,4.88281E-02,8.83027E-01
-1.92000E-08,2.44141E-01,8.87910E-01
-1.90000E-08,4.88281E-02,8.97676E-01
-1.88000E-08,-2.44141E-01,9.12324E-01
-1.86000E-08,-1.46484E-01,9.22090E-01
-1.84000E-08,-4.88281E-02,9.26973E-01
-1.82000E-08,-4.88281E-02,9.41621E-01
-1.80000E-08,-1.46484E-01,9.56270E-01
-1.78000E-08,-4.88281E-02,9.61152E-01
-1.76000E-08,-1.46484E-01,9.51387E-01
-1.74000E-08,-5.37109E-01,9.41621E-01
-1.72000E-08,-8.30078E-01,9.46504E-01
-1.70000E-08,-6.34766E-01,9.56270E-01
-1.68000E-08,-2.44141E-01,9.66035E-01
-1.66000E-08,-2.44141E-01,9.66035E-01
-1.64000E-08,-4.39453E-01,9.61152E-01
