distance to pixel,"first pad(Gtype,GIndex,GSection,Label)","second pad(Gtype,GIndex,GSection,Label)"
15900.000000000004,"['RowPad', 3, 'A', 'T07-']","['RowPad', 3, 'A', 'B10+']"
10600.0,"['RowPad', 3, 'A', 'B10+']","['RowPad', 3, 'A', 'B08-']"
10600.0,"['RowPad', 3, 'A', 'B08-']","['RowPad', 3, 'A', 'T10+']"
10600.0,"['RowPad', 3, 'A', 'T10+']","['RowPad', 3, 'A', 'T08-']"
15900.0,"['RowPad', 3, 'A', 'T08-']","['RowPad', 3, 'A', 'B11+']"
10600.0,"['RowPad', 3, 'A', 'B11+']","['RowPad', 3, 'A', 'B09-']"
10600.0,"['RowPad', 3, 'A', 'B09-']","['RowPad', 3, 'A', 'T11+']"
10600.0,"['RowPad', 3, 'A', 'T11+']","['RowPad', 3, 'A', 'T09-']"
5300.0,"['RowPad', 3, 'A', 'T09-']","['RowPad', 3, 'A', 'B10-']"
0.0,"['RowPad', 3, 'A', 'B10-']","['RowPad', 3, 'A', 'T10-']"
5300.0,"['RowPad', 3, 'A', 'T10-']","['RowPad', 3, 'A', 'B11-']"
0.0,"['RowPad', 3, 'A', 'B11-']","['RowPad', 3, 'A', 'T11-']"
61122.58177878471,"['RowPad', 3, 'A', 'T11-']","['RowPad', 4, 'A', 'X00+']"
0.0,"['RowPad', 4, 'A', 'X00+']","['RowPad', 4, 'A', 'B00+']"
0.0,"['RowPad', 4, 'A', 'B00+']","['RowPad', 4, 'A', 'T00+']"
5300.000000000001,"['RowPad', 4, 'A', 'T00+']","['RowPad', 4, 'A', 'B01+']"
0.0,"['RowPad', 4, 'A', 'B01+']","['RowPad', 4, 'A', 'T01+']"
5300.000000000001,"['RowPad', 4, 'A', 'T01+']","['RowPad', 4, 'A', 'X00-']"
10600.0,"['RowPad', 4, 'A', 'X00-']","['RowPad', 4, 'A', 'B02+']"
10600.0,"['RowPad', 4, 'A', 'B02+']","['RowPad', 4, 'A', 'B00-']"
10600.0,"['RowPad', 4, 'A', 'B00-']","['RowPad', 4, 'A', 'T02+']"
10600.0,"['RowPad', 4, 'A', 'T02+']","['RowPad', 4, 'A', 'T00-']"
15900.0,"['RowPad', 4, 'A', 'T00-']","['RowPad', 4, 'A', 'B03+']"
10600.0,"['RowPad', 4, 'A', 'B03+']","['RowPad', 4, 'A', 'B01-']"
10600.0,"['RowPad', 4, 'A', 'B01-']","['RowPad', 4, 'A', 'T03+']"
10600.0,"['RowPad', 4, 'A', 'T03+']","['RowPad', 4, 'A', 'T01-']"
15900.0,"['RowPad', 4, 'A', 'T01-']","['RowPad', 4, 'A', 'B04+']"
10600.0,"['RowPad', 4, 'A', 'B04+']","['RowPad', 4, 'A', 'B02-']"
10600.0,"['RowPad', 4, 'A', 'B02-']","['RowPad', 4, 'A', 'T04+']"
10600.0,"['RowPad', 4, 'A', 'T04+']","['RowPad', 4, 'A', 'T02-']"
15900.0,"['RowPad', 4, 'A', 'T02-']","['RowPad', 4, 'A', 'B05+']"
10600.0,"['RowPad', 4, 'A', 'B05+']","['RowPad', 4, 'A', 'B03-']"
10600.0,"['RowPad', 4, 'A', 'B03-']","['RowPad', 4, 'A', 'T05+']"
10600.0,"['RowPad', 4, 'A', 'T05+']","['RowPad', 4, 'A', 'T03-']"
15900.0,"['RowPad', 4, 'A', 'T03-']","['RowPad', 4, 'A', 'B06+']"
10600.0,"['RowPad', 4, 'A', 'B06+']","['RowPad', 4, 'A', 'B04-']"
10600.0,"['RowPad', 4, 'A', 'B04-']","['RowPad', 4, 'A', 'T06+']"
10600.0,"['RowPad', 4, 'A', 'T06+']","['RowPad', 4, 'A', 'T04-']"
15900.0,"['RowPad', 4, 'A', 'T04-']","['RowPad', 4, 'A', 'B07+']"
10600.0,"['RowPad', 4, 'A', 'B07+']","['RowPad', 4, 'A', 'B05-']"
10600.0,"['RowPad', 4, 'A', 'B05-']","['RowPad', 4, 'A', 'T07+']"
10600.0,"['RowPad', 4, 'A', 'T07+']","['RowPad', 4, 'A', 'T05-']"
15900.000000000004,"['RowPad', 4, 'A', 'T05-']","['RowPad', 4, 'A', 'B08+']"
10600.000000000004,"['RowPad', 4, 'A', 'B08+']","['RowPad', 4, 'A', 'B06-']"
10600.000000000004,"['RowPad', 4, 'A', 'B06-']","['RowPad', 4, 'A', 'T08+']"
10600.000000000004,"['RowPad', 4, 'A', 'T08+']","['RowPad', 4, 'A', 'T06-']"
15900.000000000004,"['RowPad', 4, 'A', 'T06-']","['RowPad', 4, 'A', 'B09+']"
10600.000000000004,"['RowPad', 4, 'A', 'B09+']","['RowPad', 4, 'A', 'B07-']"
10600.000000000004,"['RowPad', 4, 'A', 'B07-']","['RowPad', 4, 'A', 'T09+']"
10600.000000000004,"['RowPad', 4, 'A', 'T09+']","['RowPad', 4, 'A', 'T07-']"
15900.000000000004,"['RowPad', 4, 'A', 'T07-']","['RowPad', 4, 'A', 'B10+']"
10600.0,"['RowPad', 4, 'A', 'B10+']","['RowPad', 4, 'A', 'B08-']"
10600.0,"['RowPad', 4, 'A', 'B08-']","['RowPad', 4, 'A', 'T10+']"
10600.0,"['RowPad', 4, 'A', 'T10+']","['RowPad', 4, 'A', 'T08-']"
15900.0,"['RowPad', 4, 'A', 'T08-']","['RowPad', 4, 'A', 'B11+']"
10600.0,"['RowPad', 4, 'A', 'B11+']","['RowPad', 4, 'A', 'B09-']"
10600.0,"['RowPad', 4, 'A', 'B09-']","['RowPad', 4, 'A', 'T11+']"
10600.0,"['RowPad', 4, 'A', 'T11+']","['RowPad', 4, 'A', 'T09-']"
5300.0,"['RowPad', 4, 'A', 'T09-']","['RowPad', 4, 'A', 'B10-']"
0.0,"['RowPad', 4, 'A', 'B10-']","['RowPad', 4, 'A', 'T10-']"
5300.0,"['RowPad', 4, 'A', 'T10-']","['RowPad', 4, 'A', 'B11-']"
0.0,"['RowPad', 4, 'A', 'B11-']","['RowPad', 4, 'A', 'T11-']"
61122.58170369079,"['RowPad', 4, 'A', 'T11-']","['RowPad', 5, 'A', 'X00+']"
0.0,"['RowPad', 5, 'A', 'X00+']","['RowPad', 5, 'A', 'B00+']"
0.0,"['RowPad', 5, 'A', 'B00+']","['RowPad', 5, 'A', 'T00+']"
5300.000000000001,"['RowPad', 5, 'A', 'T00+']","['RowPad', 5, 'A', 'B01+']"
0.0,"['RowPad', 5, 'A', 'B01+']","['RowPad', 5, 'A', 'T01+']"
