"pad info 1(Gtype,GIndex,GSection,Label)",pad info 2,pixel position
"['ColumnPad', 7, 'A', 'R05-']","['ColumnPad', 7, 'A', 'R05+']","[-25379.978, 25599.673]"
"['ColumnPad', 7, 'A', 'R05+']","['ColumnPad', 7, 'A', 'L05-']","[-25379.978, 25599.673]"
"['ColumnPad', 7, 'A', 'L05-']","['ColumnPad', 7, 'A', 'L05+']","[-25379.978, 25599.673]"
"['ColumnPad', 7, 'A', 'R06-']","['ColumnPad', 7, 'A', 'R06+']","[-22729.978, 30189.608]"
"['ColumnPad', 7, 'A', 'R06+']","['ColumnPad', 7, 'A', 'L06-']","[-22729.978, 30189.608]"
"['ColumnPad', 7, 'A', 'L06-']","['ColumnPad', 7, 'A', 'L06+']","[-22729.978, 30189.608]"
"['ColumnPad', 7, 'A', 'R07-']","['ColumnPad', 7, 'A', 'R07+']","[-20079.978, 34779.542]"
"['ColumnPad', 7, 'A', 'R07+']","['ColumnPad', 7, 'A', 'L07-']","[-20079.978, 34779.542]"
"['ColumnPad', 7, 'A', 'L07-']","['ColumnPad', 7, 'A', 'L07+']","[-20079.978, 34779.542]"
"['ColumnPad', 7, 'A', 'R08-']","['ColumnPad', 7, 'A', 'R08+']","[-17429.978, 39369.477]"
"['ColumnPad', 7, 'A', 'R08+']","['ColumnPad', 7, 'A', 'L08-']","[-17429.978, 39369.477]"
"['ColumnPad', 7, 'A', 'L08-']","['ColumnPad', 7, 'A', 'L08+']","[-17429.978, 39369.477]"
"['ColumnPad', 7, 'A', 'R09-']","['ColumnPad', 7, 'A', 'R09+']","[-14779.978, 43959.412]"
"['ColumnPad', 7, 'A', 'R09+']","['ColumnPad', 7, 'A', 'L09-']","[-14779.978, 43959.412]"
"['ColumnPad', 7, 'A', 'L09-']","['ColumnPad', 7, 'A', 'L09+']","[-14779.978, 43959.412]"
