distance to pad,"first pad(Gtype,GIndex,GSection,Label)","second pad(Gtype,GIndex,GSection,Label)"
42366.77494209864,[['ColumnPad' '11' 'A' 'L04-']],[['RowPad' '4' 'A' 'B11+']]
425.7933771208754,[['RowPad' '11' 'C' 'B05+']],[['RowPad' '11' 'C' 'B05-']]
469.5742752749558,[['RowPad' '11' 'C' 'B05-']],[['RowPad' '11' 'C' 'T05+']]
425.7933771208754,[['RowPad' '11' 'C' 'T05+']],[['RowPad' '11' 'C' 'T05-']]
40404.36639716462,[['RowPad' '11' 'C' 'T05-']],[['ColumnPad' '5' 'C' 'R11+']]
425.79267229956264,[['ColumnPad' '5' 'C' 'R11+']],[['ColumnPad' '5' 'C' 'R11-']]
469.5735670329018,[['ColumnPad' '5' 'C' 'R11-']],[['ColumnPad' '5' 'C' 'L11+']]
425.79267229956264,[['ColumnPad' '5' 'C' 'L11+']],[['ColumnPad' '5' 'C' 'L11-']]
40812.96563107318,[['ColumnPad' '5' 'C' 'L11-']],[['RowPad' '11' 'C' 'B05+']]
425.7933771208754,[['RowPad' '10' 'C' 'B03+']],[['RowPad' '10' 'C' 'B03-']]
469.5742752749558,[['RowPad' '10' 'C' 'B03-']],[['RowPad' '10' 'C' 'T03+']]
425.7933771208754,[['RowPad' '10' 'C' 'T03+']],[['RowPad' '10' 'C' 'T03-']]
54247.94167966837,[['RowPad' '10' 'C' 'T03-']],[['ColumnPad' '3' 'C' 'R10+']]
425.79267229956264,[['ColumnPad' '3' 'C' 'R10+']],[['ColumnPad' '3' 'C' 'R10-']]
469.5735670329017,[['ColumnPad' '3' 'C' 'R10-']],[['ColumnPad' '3' 'C' 'L10+']]
425.79267229956264,[['ColumnPad' '3' 'C' 'L10+']],[['ColumnPad' '3' 'C' 'L10-']]
54613.79690326195,[['ColumnPad' '3' 'C' 'L10-']],[['RowPad' '10' 'C' 'B03+']]
425.7933771208754,[['RowPad' '9' 'C' 'B01+']],[['RowPad' '9' 'C' 'B01-']]
469.5742752749558,[['RowPad' '9' 'C' 'B01-']],[['RowPad' '9' 'C' 'T01+']]
425.7933771208754,[['RowPad' '9' 'C' 'T01+']],[['RowPad' '9' 'C' 'T01-']]
68233.42233123681,[['RowPad' '9' 'C' 'T01-']],[['ColumnPad' '1' 'C' 'R09+']]
425.7930231239147,[['ColumnPad' '1' 'C' 'R09+']],[['ColumnPad' '1' 'C' 'R09-']]
469.5736269478972,[['ColumnPad' '1' 'C' 'R09-']],[['ColumnPad' '1' 'C' 'L09+']]
425.7926722995623,[['ColumnPad' '1' 'C' 'L09+']],[['ColumnPad' '1' 'C' 'L09-']]
68573.098623339,[['ColumnPad' '1' 'C' 'L09-']],[['RowPad' '9' 'C' 'B01+']]
425.79236552691106,[['RowPad' '1' 'A' 'B09+']],[['RowPad' '1' 'A' 'B09-']]
