distance,1st Grouptype,1st GroupIndex,1st Group Section,1st Pad Label,1st Pixel X center,1st Pixel Y center,1st Pad X center,1st Pad Y center,2nd Grouptype,2nd GroupIndex,2nd Group Section,2nd Pad Label,2nd Pixel X center,2nd Pixel Y center,2nd Pad X center,2nd Pad Y center
62270.902,RowPad,11,C,B01-,-57179.978,-7239.935,-27043.842,-56984.248,ColumnPad,1,C,L11-,-57179.978,-7239.935,-62467.886,-5770.945
425.793,RowPad,11,C,T01+,-57179.978,-7239.935,-27253.842,-57404.248,RowPad,11,C,T01-,-57179.978,-7239.935,-27183.842,-56984.248
62461.299,RowPad,11,C,T01+,-57179.978,-7239.935,-27253.842,-57404.248,ColumnPad,1,C,R11+,-57179.978,-7239.935,-62796.616,-6041.566
62358.609,RowPad,11,C,T01+,-57179.978,-7239.935,-27253.842,-57404.248,ColumnPad,1,C,R11-,-57179.978,-7239.935,-62397.886,-5892.188
62600.832,RowPad,11,C,T01+,-57179.978,-7239.935,-27253.842,-57404.248,ColumnPad,1,C,L11+,-57179.978,-7239.935,-62866.616,-5920.323
62498.215,RowPad,11,C,T01+,-57179.978,-7239.935,-27253.842,-57404.248,ColumnPad,1,C,L11-,-57179.978,-7239.935,-62467.886,-5770.945
62156.468,RowPad,11,C,T01-,-57179.978,-7239.935,-27183.842,-56984.248,ColumnPad,1,C,R11+,-57179.978,-7239.935,-62796.616,-6041.566
62051.813,RowPad,11,C,T01-,-57179.978,-7239.935,-27183.842,-56984.248,ColumnPad,1,C,R11-,-57179.978,-7239.935,-62397.886,-5892.188
62295.945,RowPad,11,C,T01-,-57179.978,-7239.935,-27183.842,-56984.248,ColumnPad,1,C,L11+,-57179.978,-7239.935,-62866.616,-5920.323
62191.367,RowPad,11,C,T01-,-57179.978,-7239.935,-27183.842,-56984.248,ColumnPad,1,C,L11-,-57179.978,-7239.935,-62467.886,-5770.945
425.793,ColumnPad,1,C,R11+,-57179.978,-7239.935,-62796.616,-6041.566,ColumnPad,1,C,R11-,-57179.978,-7239.935,-62397.886,-5892.188
140.0,ColumnPad,1,C,R11+,-57179.978,-7239.935,-62796.616,-6041.566,ColumnPad,1,C,L11+,-57179.978,-7239.935,-62866.616,-5920.323
425.792,ColumnPad,1,C,R11+,-57179.978,-7239.935,-62796.616,-6041.566,ColumnPad,1,C,L11-,-57179.978,-7239.935,-62467.886,-5770.945
469.574,ColumnPad,1,C,R11-,-57179.978,-7239.935,-62397.886,-5892.188,ColumnPad,1,C,L11+,-57179.978,-7239.935,-62866.616,-5920.323
140.0,ColumnPad,1,C,R11-,-57179.978,-7239.935,-62397.886,-5892.188,ColumnPad,1,C,L11-,-57179.978,-7239.935,-62467.886,-5770.945
425.793,ColumnPad,1,C,L11+,-57179.978,-7239.935,-62866.616,-5920.323,ColumnPad,1,C,L11-,-57179.978,-7239.935,-62467.886,-5770.945
-10.11,1st Grouptype,1st GroupIndex,1st Group Section,1st Pad Label,1st Pixel X center,1st Pixel Y center,1st Pad X center,1st Pad Y center,2nd Grouptype,2nd GroupIndex,2nd Group Section,2nd Pad Label,2nd Pixel X center,2nd Pixel Y center,2nd Pad X center,2nd Pad Y center
425.793,RowPad,1,A,B11+,-57179.978,7239.935,-61256.616,8708.925,RowPad,1,A,B11-,-57179.978,7239.935,-60927.886,8438.303
140.0,RowPad,1,A,B11+,-57179.978,7239.935,-61256.616,8708.925,RowPad,1,A,T11+,-57179.978,7239.935,-61186.616,8830.168
425.793,RowPad,1,A,B11+,-57179.978,7239.935,-61256.616,8708.925,RowPad,1,A,T11-,-57179.978,7239.935,-60857.886,8559.546
58062.331,RowPad,1,A,B11+,-57179.978,7239.935,-61256.616,8708.925,ColumnPad,11,A,R01+,-57179.978,7239.935,-29633.842,57404.248
57672.215,RowPad,1,A,B11+,-57179.978,7239.935,-61256.616,8708.925,ColumnPad,11,A,R01-,-57179.978,7239.935,-29703.842,56984.248
58138.699,RowPad,1,A,B11+,-57179.978,7239.935,-61256.616,8708.925,ColumnPad,11,A,L01+,-57179.978,7239.935,-29493.842,57404.248
57748.928,RowPad,1,A,B11+,-57179.978,7239.935,-61256.616,8708.925,ColumnPad,11,A,L01-,-57179.978,7239.935,-29563.842,56984.248
469.574,RowPad,1,A,B11-,-57179.978,7239.935,-60927.886,8438.303,RowPad,1,A,T11+,-57179.978,7239.935,-61186.616,8830.168
