pad distance,1st Grouptype,1st GroupIndex,1st Group Section,1st Pad Label,1st Pixel X center,1st Pixel Y center,1st Pad X center,1st Pad Y center,2nd Grouptype,2nd GroupIndex,2nd Group Section,2nd Pad Label,2nd Pixel X center,2nd Pixel Y center,2nd Pad X center,2nd Pad Y center
425.793,ColumnPad,10,A,L02+,-49229.978,11829.869,-23913.842,57404.248,ColumnPad,10,A,L02-,-49229.978,11829.869,-23983.842,56984.248
56018.825,ColumnPad,10,A,L02-,-49229.978,11829.869,-23983.842,56984.248,RowPad,2,A,B10+,-49229.978,11829.869,-58746.616,13056.372
425.793,RowPad,4,A,B11+,-49229.978,21009.739,-53306.616,22478.729,RowPad,4,A,B11-,-49229.978,21009.739,-52977.886,22208.107
469.574,RowPad,4,A,B11-,-49229.978,21009.739,-52977.886,22208.107,RowPad,4,A,T11+,-49229.978,21009.739,-53236.616,22599.972
425.793,RowPad,4,A,T11+,-49229.978,21009.739,-53236.616,22599.972,RowPad,4,A,T11-,-49229.978,21009.739,-52907.886,22329.35
42564.487,RowPad,4,A,T11-,-49229.978,21009.739,-52907.886,22329.35,ColumnPad,11,A,R04+,-49229.978,21009.739,-28793.842,57404.248
425.793,ColumnPad,11,A,R04+,-49229.978,21009.739,-28793.842,57404.248,ColumnPad,11,A,R04-,-49229.978,21009.739,-28863.842,56984.248
469.574,ColumnPad,11,A,R04-,-49229.978,21009.739,-28863.842,56984.248,ColumnPad,11,A,L04+,-49229.978,21009.739,-28653.842,57404.248
425.793,ColumnPad,11,A,L04+,-49229.978,21009.739,-28653.842,57404.248,ColumnPad,11,A,L04-,-49229.978,21009.739,-28723.842,56984.248
42366.775,ColumnPad,11,A,L04-,-49229.978,21009.739,-28723.842,56984.248,RowPad,4,A,B11+,-49229.978,21009.739,-53306.616,22478.729
425.793,RowPad,11,C,B05+,-46579.978,-25599.673,-28233.842,-57404.248,RowPad,11,C,B05-,-46579.978,-25599.673,-28163.842,-56984.248
469.574,RowPad,11,C,B05-,-46579.978,-25599.673,-28163.842,-56984.248,RowPad,11,C,T05+,-46579.978,-25599.673,-28373.842,-57404.248
425.793,RowPad,11,C,T05+,-46579.978,-25599.673,-28373.842,-57404.248,RowPad,11,C,T05-,-46579.978,-25599.673,-28303.842,-56984.248
