1st Grouptype,1st GroupIndex,1st Group Section,1st Pad Label,1st Pixel X center,1st Pixel Y center,1st Pad X center,1st Pad Y center,2nd Grouptype,2nd GroupIndex,2nd Group Section,2nd Pad Label,2nd Pixel X center,2nd Pixel Y center,2nd Pad X center,2nd Pad Y center
ColumnPad,9,A,L06-,-33329.978,30189.608,-17563.842,56984.248,ColumnPad,9,A,L06+,-33329.978,30189.608,-17493.842,57404.248
ColumnPad,9,A,R07-,-30679.978,34779.542,-17423.842,56984.248,ColumnPad,9,A,R07+,-30679.978,34779.542,-17353.842,57404.248
ColumnPad,9,A,R07+,-30679.978,34779.542,-17353.842,57404.248,ColumnPad,9,A,L07-,-30679.978,34779.542,-17283.842,56984.248
ColumnPad,9,A,L07-,-30679.978,34779.542,-17283.842,56984.248,ColumnPad,9,A,L07+,-30679.978,34779.542,-17213.842,57404.248
ColumnPad,9,A,R08-,-28029.978,39369.477,-17143.842,56984.248,ColumnPad,9,A,R08+,-28029.978,39369.477,-17073.842,57404.248
ColumnPad,9,A,R08+,-28029.978,39369.477,-17073.842,57404.248,ColumnPad,9,A,L08-,-28029.978,39369.477,-17003.842,56984.248
ColumnPad,9,A,L08-,-28029.978,39369.477,-17003.842,56984.248,ColumnPad,9,A,L08+,-28029.978,39369.477,-16933.842,57404.248
ColumnPad,9,A,R09-,-25379.978,43959.412,-16863.842,56984.248,ColumnPad,9,A,R09+,-25379.978,43959.412,-16793.842,57404.248
ColumnPad,9,A,R09+,-25379.978,43959.412,-16793.842,57404.248,ColumnPad,9,A,L09-,-25379.978,43959.412,-16723.842,56984.248
ColumnPad,9,A,L09-,-25379.978,43959.412,-16723.842,56984.248,ColumnPad,9,A,L09+,-25379.978,43959.412,-16653.842,57404.248
ColumnPad,9,A,R10-,-22729.978,48549.346,-16583.842,56984.248,ColumnPad,9,A,R10+,-22729.978,48549.346,-16513.842,57404.248
ColumnPad,9,A,R10+,-22729.978,48549.346,-16513.842,57404.248,ColumnPad,9,A,L10-,-22729.978,48549.346,-16443.842,56984.248
ColumnPad,9,A,L10-,-22729.978,48549.346,-16443.842,56984.248,ColumnPad,9,A,L10+,-22729.978,48549.346,-16373.842,57404.248
ColumnPad,9,A,R11-,-20079.978,53139.281,-16303.842,56984.248,ColumnPad,9,A,R11+,-20079.978,53139.281,-16233.842,57404.248
ColumnPad,9,A,R11+,-20079.978,53139.281,-16233.842,57404.248,ColumnPad,9,A,L11-,-20079.978,53139.281,-16163.842,56984.248
ColumnPad,9,A,L11-,-20079.978,53139.281,-16163.842,56984.248,ColumnPad,9,A,L11+,-20079.978,53139.281,-16093.842,57404.248
ColumnPad,8,A,R00-,-43929.978,2650.0,-14083.842,56984.248,ColumnPad,8,A,R00+,-43929.978,2650.0,-14013.842,57404.248
ColumnPad,8,A,R00+,-43929.978,2650.0,-14013.842,57404.248,ColumnPad,8,A,L00-,-43929.978,2650.0,-13943.842,56984.248
ColumnPad,8,A,L00-,-43929.978,2650.0,-13943.842,56984.248,ColumnPad,8,A,L00+,-43929.978,2650.0,-13873.842,57404.248
ColumnPad,8,A,R01-,-41279.978,7239.935,-13803.842,56984.248,ColumnPad,8,A,R01+,-41279.978,7239.935,-13733.842,57404.248
ColumnPad,8,A,R01+,-41279.978,7239.935,-13733.842,57404.248,ColumnPad,8,A,L01-,-41279.978,7239.935,-13663.842,56984.248
ColumnPad,8,A,L01-,-41279.978,7239.935,-13663.842,56984.248,ColumnPad,8,A,L01+,-41279.978,7239.935,-13593.842,57404.248
ColumnPad,8,A,R02-,-38629.978,11829.869,-13523.842,56984.248,ColumnPad,8,A,R02+,-38629.978,11829.869,-13453.842,57404.248
ColumnPad,8,A,R02+,-38629.978,11829.869,-13453.842,57404.248,ColumnPad,8,A,L02-,-38629.978,11829.869,-13383.842,56984.248
ColumnPad,8,A,L02-,-38629.978,11829.869,-13383.842,56984.248,ColumnPad,8,A,L02+,-38629.978,11829.869,-13313.842,57404.248
ColumnPad,8,A,R03-,-35979.978,16419.804,-13243.842,56984.248,ColumnPad,8,A,R03+,-35979.978,16419.804,-13173.842,57404.248
ColumnPad,8,A,R03+,-35979.978,16419.804,-13173.842,57404.248,ColumnPad,8,A,L03-,-35979.978,16419.804,-13103.842,56984.248
ColumnPad,8,A,L03-,-35979.978,16419.804,-13103.842,56984.248,ColumnPad,8,A,L03+,-35979.978,16419.804,-13033.842,57404.248
ColumnPad,8,A,R04-,-33329.978,21009.739,-12963.842,56984.248,ColumnPad,8,A,R04+,-33329.978,21009.739,-12893.842,57404.248
ColumnPad,8,A,R04+,-33329.978,21009.739,-12893.842,57404.248,ColumnPad,8,A,L04-,-33329.978,21009.739,-12823.842,56984.248
ColumnPad,8,A,L04-,-33329.978,21009.739,-12823.842,56984.248,ColumnPad,8,A,L04+,-33329.978,21009.739,-12753.842,57404.248
