in s,C1 in V,C4 in V
2.30000E-08,1.65527E+01,1.53732E+00
2.32000E-08,1.66504E+01,1.53732E+00
2.34000E-08,1.65527E+01,1.54709E+00
2.36000E-08,1.64551E+01,1.56174E+00
2.38000E-08,1.64551E+01,1.56174E+00
2.40000E-08,1.66504E+01,1.54709E+00
2.42000E-08,1.66504E+01,1.54221E+00
2.44000E-08,1.64551E+01,1.54221E+00
2.46000E-08,1.62598E+01,1.54221E+00
2.48000E-08,1.64551E+01,1.54221E+00
2.50000E-08,1.69434E+01,1.54709E+00
2.52000E-08,1.73340E+01,1.55197E+00
2.54000E-08,1.72363E+01,1.55197E+00
2.56000E-08,1.67480E+01,1.55197E+00
2.58000E-08,1.65527E+01,1.55197E+00
2.60000E-08,1.67480E+01,1.55197E+00
2.62000E-08,1.70410E+01,1.55197E+00
2.64000E-08,1.70410E+01,1.55197E+00
2.66000E-08,1.67480E+01,1.55686E+00
2.68000E-08,1.66504E+01,1.56662E+00
2.70000E-08,1.67480E+01,1.57639E+00
2.72000E-08,1.68457E+01,1.57639E+00
2.74000E-08,1.66504E+01,1.57150E+00
2.76000E-08,1.64551E+01,1.56662E+00
2.78000E-08,1.65527E+01,1.56662E+00
2.80000E-08,1.68457E+01,1.57150E+00
2.82000E-08,1.70410E+01,1.57639E+00
2.84000E-08,1.69434E+01,1.58127E+00
2.86000E-08,1.68457E+01,1.58615E+00
2.88000E-08,1.67480E+01,1.58127E+00
2.90000E-08,1.66504E+01,1.56174E+00
2.92000E-08,1.66504E+01,1.55197E+00
2.94000E-08,1.67480E+01,1.56174E+00
2.96000E-08,1.68457E+01,1.57639E+00
2.98000E-08,1.68457E+01,1.58127E+00
3.00000E-08,1.67480E+01,1.57639E+00
3.02000E-08,1.68457E+01,1.57150E+00
3.04000E-08,1.68457E+01,1.57150E+00
3.06000E-08,1.67480E+01,1.56662E+00
3.08000E-08,1.64551E+01,1.56174E+00
3.10000E-08,1.63574E+01,1.57150E+00
3.12000E-08,1.64551E+01,1.58127E+00
3.14000E-08,1.66504E+01,1.58127E+00
3.16000E-08,1.68457E+01,1.57150E+00
3.18000E-08,1.68457E+01,1.56174E+00
3.20000E-08,1.68457E+01,1.55686E+00
3.22000E-08,1.68457E+01,1.55686E+00
3.24000E-08,1.68457E+01,1.55197E+00
3.26000E-08,1.69434E+01,1.54221E+00
3.28000E-08,1.68457E+01,1.54221E+00
3.30000E-08,1.67480E+01,1.54709E+00
3.32000E-08,1.68457E+01,1.55686E+00
3.34000E-08,1.70410E+01,1.55686E+00
3.36000E-08,1.70410E+01,1.55686E+00
3.38000E-08,1.67480E+01,1.55197E+00
3.40000E-08,1.64551E+01,1.54709E+00
3.42000E-08,1.65527E+01,1.54221E+00
3.44000E-08,1.68457E+01,1.54221E+00
3.46000E-08,1.69434E+01,1.55197E+00
3.48000E-08,1.68457E+01,1.55686E+00
3.50000E-08,1.67480E+01,1.54709E+00
3.52000E-08,1.67480E+01,1.53244E+00
3.54000E-08,1.68457E+01,1.52756E+00
3.56000E-08,1.68457E+01,1.52756E+00
3.58000E-08,1.68457E+01,1.52756E+00
3.60000E-08,1.68457E+01,1.52756E+00
3.62000E-08,1.68457E+01,1.53732E+00
3.64000E-08,1.67480E+01,1.55197E+00
3.66000E-08,1.65527E+01,1.55197E+00
3.68000E-08,1.64551E+01,1.54709E+00
3.70000E-08,1.66504E+01,1.54221E+00
3.72000E-08,1.68457E+01,1.53244E+00
3.74000E-08,1.69434E+01,1.52268E+00
3.76000E-08,1.68457E+01,1.51291E+00
3.78000E-08,1.68457E+01,1.51291E+00
3.80000E-08,1.69434E+01,1.51779E+00
3.82000E-08,1.70410E+01,1.51779E+00
3.84000E-08,1.70410E+01,1.52268E+00
3.86000E-08,1.69434E+01,1.53732E+00
3.88000E-08,1.68457E+01,1.54709E+00
3.90000E-08,1.67480E+01,1.53732E+00
3.92000E-08,1.68457E+01,1.52268E+00
3.94000E-08,1.69434E+01,1.52268E+00
3.96000E-08,1.70410E+01,1.53244E+00
3.98000E-08,1.69434E+01,1.53732E+00
