Pixel X center,Pixel Y center,Pad X center,Pad Y center
-33329.978,48549.346,-37077.886,49747.715
-33329.978,48549.346,-37336.616,50139.58
-33329.978,48549.346,-37007.886,49868.958
-33329.978,48549.346,-27113.842,57404.248
-33329.978,48549.346,-27183.842,56984.248
-33329.978,48549.346,-26973.842,57404.248
-33329.978,48549.346,-27043.842,56984.248
-30679.978,-53139.281,-29913.842,-57404.248
-30679.978,-53139.281,-29843.842,-56984.248
-30679.978,-53139.281,-30053.842,-57404.248
-30679.978,-53139.281,-29983.842,-56984.248
-30679.978,-53139.281,-36296.616,-51940.913
-30679.978,-53139.281,-35897.886,-51791.535
-30679.978,-53139.281,-36366.616,-51819.669
-30679.978,-53139.281,-35967.886,-51670.291
-30679.978,-43959.412,-24053.842,-57404.248
-30679.978,-43959.412,-23983.842,-56984.248
-30679.978,-43959.412,-24193.842,-57404.248
-30679.978,-43959.412,-24123.842,-56984.248
-30679.978,-43959.412,-41456.616,-43003.531
