Grouptype,GroupIndex,Group Section,Pad Label,Pad X center,Pad Y center,Pixel Row,Pixel Column,Pixel Ring,Pixel Section,Pixel X center,Pixel Y center,Raw angle,Actual angle,Signal description
RowPad,1,A,B09-,-61207.886,7953.329,1,9,0,A,-46579.978,7239.935,0.0,2.0943951023931953,NC
RowPad,1,A,T09+,-61466.616,8345.194,1,9,0,A,-46579.978,7239.935,0.0,2.0943951023931953,NC
RowPad,1,A,T09-,-61137.886,8074.572,1,9,0,A,-46579.978,7239.935,0.0,2.0943951023931953,NC
RowPad,1,A,B10+,-61396.616,8466.438,1,10,0,A,-51879.978,7239.935,0.0,2.0943951023931953,NC
RowPad,1,A,B10-,-61067.886,8195.816,1,10,0,A,-51879.978,7239.935,0.0,2.0943951023931953,NC
RowPad,1,A,T10+,-61326.616,8587.681,1,10,0,A,-51879.978,7239.935,0.0,2.0943951023931953,NC
RowPad,1,A,T10-,-60997.886,8317.059,1,10,0,A,-51879.978,7239.935,0.0,2.0943951023931953,NC
RowPad,1,A,B11+,-61256.616,8708.925,1,11,0,A,-57179.978,7239.935,0.0,2.0943951023931953,NC
RowPad,1,A,B11-,-60927.886,8438.303,1,11,0,A,-57179.978,7239.935,0.0,2.0943951023931953,NC
RowPad,1,A,T11+,-61186.616,8830.168,1,11,0,A,-57179.978,7239.935,0.0,2.0943951023931953,NC
RowPad,1,A,T11-,-60857.886,8559.546,1,11,0,A,-57179.978,7239.935,0.0,2.0943951023931953,NC
RowPad,1,A,X00+,-62866.616,5920.323,1,0,0,A,1120.022,7239.935,0.0,2.0943951023931953,NC
RowPad,1,A,X00-,-62537.886,5649.701,1,0,0,A,1120.022,7239.935,0.0,2.0943951023931953,NC
RowPad,1,B,B00+,36630.458,51362.682,1,0,0,B,5709.956,-4589.935,0.0,0.0,NC
RowPad,1,B,B00-,36231.728,51213.304,1,0,0,B,5709.956,-4589.935,0.0,0.0,NC
RowPad,1,B,T00+,36700.458,51241.438,1,0,0,B,5709.956,-4589.935,0.0,0.0,NC
RowPad,1,B,T00-,36301.728,51092.060,1,0,0,B,5709.956,-4589.935,0.0,0.0,NC
RowPad,1,B,B01+,36770.458,51120.195,1,1,0,B,8359.956,0.000,0.0,0.0,NC
RowPad,1,B,B01-,36371.728,50970.817,1,1,0,B,8359.956,0.000,0.0,0.0,NC
RowPad,1,B,T01+,36840.458,50998.951,1,1,0,B,8359.956,0.000,0.0,0.0,NC
RowPad,1,B,T01-,36441.728,50849.573,1,1,0,B,8359.956,0.000,0.0,0.0,NC
RowPad,1,B,B02+,36910.458,50877.708,1,2,0,B,11009.956,4589.935,0.0,0.0,NC
RowPad,1,B,B02-,36511.728,50728.330,1,2,0,B,11009.956,4589.935,0.0,0.0,NC
RowPad,1,B,T02+,36980.458,50756.464,1,2,0,B,11009.956,4589.935,0.0,0.0,NC
RowPad,1,B,T02-,36581.728,50607.086,1,2,0,B,11009.956,4589.935,0.0,0.0,NC
RowPad,1,B,B03+,37050.458,50635.221,1,3,0,B,13659.956,9179.869,0.0,0.0,NC
RowPad,1,B,B03-,36651.728,50485.842,1,3,0,B,13659.956,9179.869,0.0,0.0,NC
RowPad,1,B,T03+,37120.458,50513.977,1,3,0,B,13659.956,9179.869,0.0,0.0,NC
RowPad,1,B,T03-,36721.728,50364.599,1,3,0,B,13659.956,9179.869,0.0,0.0,NC
RowPad,1,B,B04+,37190.458,50392.734,1,4,0,B,16309.956,13769.804,0.0,0.0,NC
RowPad,1,B,B04-,36791.728,50243.355,1,4,0,B,16309.956,13769.804,0.0,0.0,NC
RowPad,1,B,T04+,37260.458,50271.490,1,4,0,B,16309.956,13769.804,0.0,0.0,NC
RowPad,1,B,T04-,36861.728,50122.112,1,4,0,B,16309.956,13769.804,0.0,0.0,NC
RowPad,1,B,B05+,37330.458,50150.246,1,5,0,B,18959.956,18359.739,0.0,0.0,NC
RowPad,1,B,B05-,36931.728,50000.868,1,5,0,B,18959.956,18359.739,0.0,0.0,NC
RowPad,1,B,T05+,37400.458,50029.003,1,5,0,B,18959.956,18359.739,0.0,0.0,NC
RowPad,1,B,T05-,37001.728,49879.625,1,5,0,B,18959.956,18359.739,0.0,0.0,NC
RowPad,1,B,B06+,37470.458,49907.759,1,6,0,B,21609.956,22949.673,0.0,0.0,NC
RowPad,1,B,B06-,37071.728,49758.381,1,6,0,B,21609.956,22949.673,0.0,0.0,NC
RowPad,1,B,T06+,37540.458,49786.516,1,6,0,B,21609.956,22949.673,0.0,0.0,NC
RowPad,1,B,T06-,37141.728,49637.137,1,6,0,B,21609.956,22949.673,0.0,0.0,NC
RowPad,1,B,B07+,37610.458,49665.272,1,7,0,B,24259.956,27539.608,0.0,0.0,NC
RowPad,1,B,B07-,37211.728,49515.894,1,7,0,B,24259.956,27539.608,0.0,0.0,NC
RowPad,1,B,T07+,37680.458,49544.029,1,7,0,B,24259.956,27539.608,0.0,0.0,NC
RowPad,1,B,T07-,37281.728,49394.650,1,7,0,B,24259.956,27539.608,0.0,0.0,NC
RowPad,1,B,B08+,37750.458,49422.785,1,8,0,B,26909.956,32129.542,0.0,0.0,NC
RowPad,1,B,B08-,37351.728,49273.407,1,8,0,B,26909.956,32129.542,0.0,0.0,NC
RowPad,1,B,T08+,37820.458,49301.541,1,8,0,B,26909.956,32129.542,0.0,0.0,NC
RowPad,1,B,T08-,37421.728,49152.163,1,8,0,B,26909.956,32129.542,0.0,0.0,NC
RowPad,1,B,B09+,37890.458,49180.298,1,9,0,B,29559.956,36719.477,0.0,0.0,NC
RowPad,1,B,B09-,37491.728,49030.920,1,9,0,B,29559.956,36719.477,0.0,0.0,NC
