in s,C1 in V,C4 in V
-4.200E-08,6.34766E-01,-2.01248E+00
-4.160E-08,7.32422E-01,-2.02225E+00
-4.120E-08,5.37109E-01,-2.03689E+00
-4.080E-08,5.37109E-01,-2.03201E+00
-4.040E-08,7.32422E-01,-2.03201E+00
-4.000E-08,5.37109E-01,-2.03201E+00
-3.960E-08,3.41797E-01,-2.03201E+00
-3.920E-08,6.34766E-01,-2.01736E+00
-3.880E-08,3.41797E-01,-2.02713E+00
-3.840E-08,6.34766E-01,-2.02713E+00
-3.800E-08,6.34766E-01,-2.02225E+00
-3.760E-08,2.44141E-01,-2.04178E+00
-3.720E-08,8.30078E-01,-2.02225E+00
-3.680E-08,5.37109E-01,-2.02225E+00
-3.640E-08,1.02539E+00,-2.04666E+00
-3.600E-08,8.30078E-01,-2.03689E+00
-3.560E-08,6.34766E-01,-2.01736E+00
-3.520E-08,3.41797E-01,-2.03201E+00
-3.480E-08,7.32422E-01,-2.01248E+00
-3.440E-08,7.32422E-01,-2.02713E+00
-3.400E-08,8.30078E-01,-2.02225E+00
-3.360E-08,4.39453E-01,-2.03201E+00
-3.320E-08,4.39453E-01,-2.03201E+00
-3.280E-08,6.34766E-01,-2.04666E+00
-3.240E-08,3.41797E-01,-2.03201E+00
-3.200E-08,5.37109E-01,-2.02225E+00
-3.160E-08,6.34766E-01,-2.03201E+00
-3.120E-08,6.34766E-01,-2.02713E+00
-3.080E-08,5.37109E-01,-2.02225E+00
-3.040E-08,7.32422E-01,-2.01736E+00
-3.000E-08,1.02539E+00,-2.01736E+00
-2.960E-08,7.32422E-01,-2.01736E+00
-2.920E-08,7.32422E-01,-2.00760E+00
-2.880E-08,9.27734E-01,-2.02225E+00
-2.840E-08,7.32422E-01,-2.01736E+00
-2.800E-08,7.32422E-01,-2.01248E+00
-2.760E-08,5.37109E-01,-2.01736E+00
-2.720E-08,6.34766E-01,-2.01736E+00
-2.680E-08,6.34766E-01,-2.01248E+00
-2.640E-08,6.34766E-01,-2.00760E+00
-2.600E-08,7.32422E-01,-2.03201E+00
-2.560E-08,5.37109E-01,-2.01736E+00
-2.520E-08,6.34766E-01,-2.04178E+00
-2.480E-08,4.39453E-01,-2.03201E+00
-2.440E-08,5.37109E-01,-2.04178E+00
-2.400E-08,4.39453E-01,-2.02225E+00
-2.360E-08,1.12305E+00,-2.02713E+00
-2.320E-08,4.39453E-01,-2.04666E+00
-2.280E-08,5.37109E-01,-2.02225E+00
-2.240E-08,7.32422E-01,-2.04178E+00
-2.200E-08,4.39453E-01,-2.02225E+00
-2.160E-08,5.37109E-01,-2.04178E+00
-2.120E-08,8.30078E-01,-2.04666E+00
-2.080E-08,4.39453E-01,-2.03201E+00
-2.040E-08,5.37109E-01,-2.03201E+00
-2.000E-08,6.34766E-01,-2.01736E+00
-1.960E-08,1.46484E-01,-2.04178E+00
-1.920E-08,4.39453E-01,-2.03689E+00
-1.880E-08,4.39453E-01,-2.01736E+00
-1.840E-08,1.02539E+00,-2.01248E+00
-1.800E-08,5.37109E-01,-2.02713E+00
